No,Headline,Link
1,Show HN: Ferrite – Markdown editor in Rust with native Mermaid diagram rendering,https://github.com/OlaProeis/Ferrite
2,Finding and fixing Ghostty's largest memory leak,https://mitchellh.com/writing/ghostty-memory-leak-fix
3,"Show HN: Librario, a book metadata API that aggregates G Books, ISBNDB, and more",item?id=46571149
4,Show HN: I used Claude Code to discover connections between 100 books,https://trails.pieterma.es/
5,"Datadog, thank you for blocking us",https://www.deductive.ai/blogs/datadog-thank-you-for-blocking-us
6,Open Chaos: A self-evolving open-source project,https://www.openchaos.dev/
7,"Show HN: Play poker with LLMs, or watch them play against each other",https://llmholdem.com/
8,"Eulogy for Dark Sky, a data visualization masterpiece (2023)",https://nightingaledvs.com/dark-sky-weather-data-viz/
9,AI is a business model stress test,https://dri.es/ai-is-a-business-model-stress-test
10,Code and Let Live,https://fly.io/blog/code-and-let-live/
11,Show HN: mcpc – Universal command-line client for Model Context Protocol (MCP),https://github.com/apify/mcp-cli
12,"1970 Paris, cut into a grid and photographed",https://paris1970.jeantho.eu/index.html
13,Overdose deaths are falling in America because of a 'supply shock': study,https://www.economist.com/united-states/2026/01/08/why-overdose-deaths-are-falling-in-america
14,Kodbox: Open-source cloud desktop with multi-storage fusion and web IDE,https://github.com/kalcaddle/kodbox
15,MetaFun: Compile Haskell-like code to C++ template metaprograms,https://gergo.erdi.hu/projects/metafun/
16,Code Is Clay,https://campedersen.com/code-is-clay
17,Bob Weir has died,https://www.rollingstone.com/music/music-news/bob-weir-grateful-dead-dead-obituary-1234810106/
18,A Year of Work on the Arch Linux Package Management (ALPM) Project,https://devblog.archlinux.page/2026/a-year-of-work-on-the-alpm-project/
19,Private equity firms acquired more than 500 autism centers in past decade: study,https://www.brown.edu/news/2026-01-07/private-equity-autism-centers
20,Brands upset Buy For Me is featuring their products on Amazon without permission,https://www.modernretail.co/technology/brands-are-upset-that-buy-for-me-is-featuring-their-products-on-amazon-without-permission/
21,"ChatGPT Health is a marketplace, guess who is the product?",https://consciousdigital.org/chatgpt-health-is-a-marketplace-guess-who-is-the-product/
22,ASCII-Driven Development,https://medium.com/@calufa/ascii-driven-development-850f66661351
23,Rats caught on camera hunting flying bats,https://scienceclock.com/rats-caught-on-camera-hunting-flying-bats-for-the-first-time/
24,Show HN: GlyphLang – An AI-first programming language,item?id=46571166
25,"UpCodes (YC S17) is hiring PMs, SWEs to automate construction compliance",https://up.codes/careers?utm_source=HN
26,Org Mode Syntax Is One of the Most Reasonable Markup Languages for Text (2017),https://karl-voit.at/2017/09/23/orgmode-as-markup-only/
27,I replaced Windows with Linux and everything's going great,https://www.theverge.com/tech/858910/linux-diary-gaming-desktop
28,New information extracted from Snowden PDFs through metadata version analysis,https://libroot.org/posts/going-through-snowden-documents-part-4/
29,Extracting books from production language models (2026),https://arxiv.org/abs/2601.02671
30,Side-by-side comparison of how AI models answer moral dilemmas,https://civai.org/p/ai-values
